refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref224,Undercurrents: An Interactive Media Project,2000,Box,Moving Images (2000-ref224),1.0 object,VHS cassette in original box sleeve,Case Jacket,"Underwater video with music, MIDI triggering live visuals (Quicktime Movies & PICT files)","Kauste, (Anna) Veera ",,,
ref226,Passtime,1995,Box,Moving Images (1995-ref226),1.0 object,VHS cassette in original box sleeve,,,"Lobato, Elizabeth",,,
ref228,Seoul Tour Information,1993,Box,Moving Images (1993-ref228),1.0 object,VHS cassette in original box sleeve,,,"Kang, Yoon-Jung",,,
ref112,Drawing Machine,1999,Box,Moving Images (1999-ref112),1.0 object,VHS cassette in original box sleeve,,,"Moore, Jim",,,
ref230,Klurg's Intergalactic Travel Agency,1993,Box,Moving Images (1993-ref230),2.0 objects,"VHS cassette in original plastic box, 3.5"" floppy disk",Jacket notes,will not copy,"Schachter, Jordan",,,
ref114,Untitled Thesis (Edward Nothnagle),1992,Box,Moving Images (1992-ref114),1.0 object,VHS cassette in original plastic box,Box label,"lists name as ""Nothnagle Eveready""","Nothnagle, Edward",,,
ref232,The Richard Family Documentary,2001,Box,Moving Images (2001-ref232),1.0 object,VHS cassette in original plastic box,,,"Richard, Malonda",,,
ref234,Physical Indicators of Child Abuse: An Interactive Video,1987,Box,Moving Images (1987-ref234),2.0 object,2 VHS cassettes in original box sleeve,,,"Hoskins, Valerie",,,
ref236,"Untitled Thesis (Jungman, Erika)",2000,Box,Moving Images (2000-ref236),1.0 object,VHS cassette in original box sleeve,,,"Jungman, Erika",,,
ref116,Rakugo: Japanese Traditional Storytelling,1992,Box,Moving Images (1992-ref116),1.0 object,VHS cassette in original plastic sleeve,,,"Kanako, Kijima",,,
ref 238,People Link,1993,Box,Moving Images (1993-ref238),1.0 object,VHS cassette in original box sleeve,,,"Goldman, Andrew",,,
ref118,FreeThrow: A Virtual Basketball Shoot Around,1997,Box,Moving Images (1997-ref118),1.0 object,VHS cassette in original box sleeve,,,"Sansaricq, Thierry",,,
ref 240,Intervid,1998,Box,Moving Images (1998-ref240),1.0 object,VHS cassette in original box sleeve,,,"Steinglass, Matt",,,
ref120,Interactive Catalog,1992,Box,Moving Images (1992-ref120),1.0 object,VHS cassette in original plastic box,,,"Hun Hueon, Cho",,,
,,,,,,,,,,,,
ref242,Physicality at the End of the Network,1996,Box,Moving Images (1992-ref242),1.0 object,VHS cassette in original box sleeve,,,"Weissberg, Jed",,,
ref244,Who Am I?,2001,Box,Moving Images (2001-ref244),1.0 object,VHS cassette in original box sleeve,,,"Park, Sangjun",,,
ref122,A Study in Three-Dimensional Pictorial Representation,1999,Box,Moving Images (1999-ref122),1.0 object,VHS cassette in original plastic box,,,"Bertagnoli, Frederico",,,
ref246,Digital Delivery,1997,Box,Moving Images (1997-ref246),1.0 object,VHS cassette in original box sleeve,Box label,Website Documentation,"Woolery, Reginald",,,
ref124,Electronic Restaurant Menu,1994,Box,Moving Images (1994-ref124),1.0 object,VHS cassette in original plastic box,,,"Kim, Jin Wook",,,
ref248,Music Affected Video (MAV),1999,Box,Moving Images (1999-ref248),1.0 object,VHS cassette in original box sleeve,,,"Piper, Ethan",,,
ref126,The Moving Painting,1998,Box,Moving Images (1998-ref126),1.0 object,VHS cassette in original plastic box,,,"Braga, Gustavo",,,
ref128,Danger Seekers,1998,Box,Moving Images (1998-ref128),1.0 object,VHS cassette in original plastic box,,,"Warden, Oliver",,,
ref250,1000 Points (of Trash TV),1991,Box,Moving Images (1991-ref250),1.0 object,VHS cassette in original box sleeve,,,"Petit, Marianne",,,
ref252,Interactive Digital Video in Medical Education Microbiology Curriculum Application,1993,Box,Moving Images (1993-ref252),1.0 object,VHS cassette in original box sleeve,,,"Boss, Yarom",,,
ref130,Sushi CD-ROM Prototype,1994,Box,Moving Images (1994-ref130),1.0 object,VHS cassette in original plastic box,,,"Lasar, Paul",,,
ref132,"Kicking Culture: Fragments from the Downtown Scene, 1975-Present",1998,Box,Moving Images (1998-ref132),1.0 object,VHS cassette in original box sleeve,,,"Kuenstler, Audrey",,,
ref254,QuickTime Virtual Reality Retail Store Website,1997,Box,Moving Images (1992-ref254),1.0 object,VHS cassette in original box sleeve,Box label,this may already exist as a cd,"Carty, David",,,
ref134,Virtual Concert Hall,1996,Box,Moving Images (1996-ref134),1.0 object,VHS cassette in original plastic sleeve,,,"Rees, Alexia",,,
ref256,Redesigning the World Wide Web at the Interactive Telecommunications Program at New York University,1998,Box,Moving Images (1998-ref256),1.0 object,VHS cassette in original box sleeve,,,"Kim, Young Suk",,,
ref136,Mommy What Should I Think Of?,1996,Box,Moving Images (1996-ref136),2.0 objects,"VHS cassette in original box sleeve, CD-R in plastic jewel case",,,"Carbo, Dorothy",,,
ref258,Lotte World - Electronic Interactive Catalog,1993,Box,Moving Images (1993-ref258),1.0 object,VHS cassette,,,"Kim, Jun-Pyoung",,,
ref260,Surviving Memories,1994,Box,Moving Images (1994-ref260),1.0 object,VHS cassette in original box sleeve,,,"Kramer, Elizabeth ",,,
ref138,Special People,XXXX,Box,Moving Images (XXXX-ref138),1.0 object,U-Matic cassette in original plastic box,,,"Macchiarulo, Anthony",,,
ref262,Gender Choices in New Media,1995,Box,Moving Images (1995-ref262),1.0 object,U-Matic cassette in original plastic box,,,"Sotoodeh, Kayvan",,,
ref264,The Amazing McScent™ Machine,1994,Box,Moving Images (1994-ref264),1.0 object,U-Matic cassette in original plastic box,,,"McGraw, Bridget",,,
ref266,KidCode: A Multimedia Messaging Program for Children,1997,Box,Moving Images (1997-ref-266),1.0 object,VHS cassette in original plastic sleeve,,,"Kanarek, Kevin",,,
ref268,Random Abstract: New Plastic Multimedia,1996,Box,Moving Images (1996-ref268),1.0 object,VHS cassette in original box sleeve,,,"Walker, Kevin",,,
ref270,Untitled Thesis (Sylvia Solomon),1992,Box,Moving Images (1992-ref270),1.0 object,VHS cassette in original box sleeve,,,"Solomon, Sylvia",,,
ref272,The Final Thesis Production Project,1992,Box,Moving Images (1992-ref272),1.0 object,VHS cassette in original box sleeve,,,"Shin, Eun-Young",,,
ref274,Listening Video and Watching Audio,2000,Box,Moving Images (2000-ref274),1.0 object,VHS cassette in original plastic box,Box label,"VHS 1: Video Concert 2000, Music is time made audible, Video is time made visable","Kwon, Eunjing",,,
ref140,I-Guide,2000,Box,Moving Images (2000-ref140),1.0 object,VHS cassette in original box sleeve,,,"Chia, Yung-Hee","Cuyler, Joele",,
ref276,Video Underground,1993,Box,Moving Images (1993-ref276),1.0 object,VHS cassette in original plastic box,,,"Rodil, Antonio",,,
ref142,Pegasus,1998,Box,Moving Images (1998-ref142),1.0 object,VHS cassette in original box sleeve,,,"Psomiades, Maria","Fortezza, Giovanni",,
ref144,Integrating New Media into Small to Medium Sized Companies,1986,Box,Moving Images (1986-ref144),1.0 object,VHS cassette in original box sleeve,,,"Nicklas, Kirk",,,
ref278,Space as Interface in an Instructional CD-ROM,1995,Box,Moving Images (1995-ref278),1.0 object,VHS cassette in original plastic box,,,"Exeta, Ivo",,,
ref280,Star Gazer,1991,Box,Moving Images (1991-ref280),1.0 object,VHS cassette in original plastic box,,,"Burstall, Amanda",,,
ref146,I Wear Lucy,1998,Box,Moving Images (1998-ref146),1.0 object,VHS cassette in original plastic box,,,"Cornyn, Alison",,,
ref282,TRACE: a memorial environmental sound installation,1997,Box,Moving Images (1997-ref282),1.0 object,VHS cassette in original plastic box,,,"Rueb, Teri",,,
ref148,My Neighborhood,1987,Box,Moving Images (1987-ref148),1.0 object,VHS cassette in original plastic box,Box label,"""Run DRIVE.LSN from hard drive."" DRIVE INT. VID ADROIT","Generalli, Ernie",,,
ref284,"The Absolutely, Positively True Adventures of Dorelvis: A Serial Dater",1999,Box,Moving Images (1999-ref284),1.0 object,VHS cassette in original box sleeve,,,"Rabinowitz, Dorelle",,,
ref286,Here is Where You Heard the Ocean: an interactive ocean environment of sound and video,1994,Box,Moving Images (1994-ref286),1.0 object,VHS cassette in original plastic box,,,"Clemons, Laura",,,
ref288,a.maze,1998,Box,Moving Images (1998-ref288),1.0 object,VHS cassette in original box sleeve,,,"Chang, Sharon",,,
ref150,The Biographical Box,1998,Box,Moving Images (1998-ref150),1.0 object,VHS cassette in original box sleeve,,,,,,
ref290,Interactive Theatre,2000,Box,Moving Images (2000-ref290),1.0 object,VHS cassette in original box sleeve,,,"Heyward, Nethia",,,
ref292,A Children's Story With Five Entrances,1998,Box,Moving Images (1998-ref292),1.0 object,VHS cassette in original box sleeve,,,"Cha, Seugah","Lee, Peter","Park, Woong-hyun",
ref294,Interactive audio CD-Rom,1996,Box,Moving Images (1996-ref294),1.0 object,VHS cassette,Cassette label,VHS 1: “Lifer” Enhanced CD Video Output Sample,"Berger, Richard",,,
ref296,Text Rain,1999,Box,Moving Images (1999-ref296),1.0 object,VHS cassette in original box sleeve,,,"Utterback, Camille",,,
ref298,The Interactive Alphabet,1993,Box,Moving Images (1993-ref298),1.0 object,VHS cassette in original box sleeve,,,"Harvey, Grant",,,
ref400,Space / Surface / Sequence,1998,Box,Moving Images (1998-ref400),1.0 object,VHS cassette in original box sleeve,,,"Baxi, Kadambari",,,
ref152,Slake,1996,Box,Moving Images (1996-ref152),1.0 object,VHS cassette in original box sleeve,,,"Goodwin, Suzanne",,,
ref154,Pin Cushion Forum,1995,Box,Moving Images (1995-ref154),1.0 object,VHS cassette in original box sleeve,,,"Goldberg, Miriam",,,
ref404,Amish Culture,1990,Box,Moving Images (1990-ref404),1.0 object,VHS cassette in original box sleeve,,,"Nerfeld, Donna",,,
ref156,Interactive Handshake,1998,Box,Moving Images (1998-ref156),1.0 object,VHS cassette in original box sleeve,,,"Ramos, Jorgette",,,
ref406,"Free Range Appliances in a Light Duck Sauce, Swans Added",2000,Box,Moving Images (2000-ref406),1.0 object,VHS cassette in original box sleeve,,,"Ho, Rania",,,
ref158,The Lizzys,2002,Box,Moving Images (2002-ref158),,,,,,,,
ref408,ITP WINDOW Videodisk and Teleconference,1992,Box,Moving Images (1992-ref408),1.0 object,VHS cassette in original box sleeve,Box label,VHS 1: Demo version before actual show launched with an ensuing archival followup,"Bedoll, Jeff",,,
ref410,You Are the Only Light in Your Tunnel,2001,Box,Moving Images (2001-ref410),1.0 object,VHS cassette in original box sleeve,,,"Suh, Dongsoo",,,
ref160,Tilt Interface for Portable Digital Assistants,1999,Box,Moving Images (1999-ref160),1.0 object,VHS cassette in original box sleeve,,,"Vianna, Bruno",,,
ref162,The Glass Bead Game,1989,Box,Moving Images (1989-ref162),1.0 object,VHS cassette in original box sleeve,Gen Note,Titles are different from paper title. Video appears to be documentation of a class project that led to the final thesis product.,"Combs, James",,,
ref414,Easy Driver,XXXX,Box,Moving Images (XXXX-ref414),1.0 object,VHS cassette in original box sleeve,,,"Cross, Steven",,,
ref164,Production Book/Spec Reel,1989,Box,Moving Images (1989-ref164),1.0 object,VHS cassette in original plastic box,,,"Keuter, Karen",,,
ref416,CyberMercury: A Web Satire,2000,Box,Moving Images (2000-ref416),1.0 object,VHS cassette in original box sleeve,,,"Kite, Dana",,,
ref166,"The Boy, the Bee, and the Grapefruit Tree",2000,Box,Moving Images (2000-ref166),1.0 object,VHS cassette in original plastic box,,,"Danitz, Brian",,,
ref418,A Software Prototype for the American Sign Language Dictionary on CD-ROM,1993,Box,Moving Images (1993-ref418),1.0 object,VHS cassette in original plastic sleeve,,,"Shustak, Paul",,,
ref168,The Voice Mail Training Tour: a Macintosh-based tutorial and interactive video,1989,Box,Moving Images (1989-ref168),1.0 object,VHS cassette in original plastic box,Box label,"Title differs from thesis paper title, but appears to be the same project.","Eugene, Regine",,,
ref420,The Loumoflex,1998,Box,Moving Images (1998-ref420),1.0 object,VHS cassette in original box sleeve,,,"Spitzer, Louis",,,
ref422,Gesture,2002,Box,Moving Images (2002-ref422),1.0 object,VHS cassette in original box sleeve,,,"Kempner, Michelle",,,
ref170,Live Remote Internet Broadcast,1997,Box,Moving Images (1997-ref170),1.0 object,VHS cassette in original plastic box,Box label,"""Footage from performances broadcast live on the web during 1997.""","Connor, Mike",,,
ref172,yOUTh,1997,Box,Moving Images (1997-ref172),1.0 object,VHS cassette in original box sleeve,Box label,"""A website for gay, lesbian, bisexual, transgender, and questioning teenagers.""","Gross, Jeffrey",,,
ref424,Untitled Thesis (Joan Griffin),1996,Box,Moving Images (1996-ref424),1.0 object,VHS cassette in original box sleeve,,,"Griffin, Joan",,,
ref426,"Bye-Bye, Mainstream",1996,Box,Moving Images (1996-ref426),1.0 object,VHS cassette in original box sleeve,,,"Genova, Barbara",,,
ref174,Welcome Friends of Holland and Sparta Mountains,1998,Box,Moving Images (1998-ref174),1.0 object,VHS cassette in original box sleeve,,,"Healey, Michael",,,
ref176,Untitled Thesis (Jennifer Gendler),1996,Box,Moving Images (1996-ref176),1.0 object,VHS cassette in original box sleeve,Box label,"""Video demo of Director presentation.""","Gendler, Jennifer",,,
ref178,Palm Poetry,2000,Box,Moving Images (2000-ref178),1.0 object,VHS cassette in original box sleeve,,,"Kruglanski, Orit",,,
ref428,"Interactive Laserdisc Kiosk : ""Unique Survival""",1991,Box,Moving Images (1991-ref428),1.0 object,VHS cassette in original box sleeve,,,"Halpern, Murray",,,
ref430,Untitled Thesis (Paul Holgerson),2000,Box,Moving Images (2000-ref430),1.0 object,VHS cassette in original box sleeve,,,"Holgerson, Paul",,,
ref432,Animation Portfolio,2000,Box,Moving Images (2000-ref232),1.0 object,VHS cassette in original box sleeve,,,"Ho-Ming Chow, Sheldon",,,
ref434,Untitled Thesis (Ignacio Ayestaran),1994,Box,Moving Images (1994-ref434),1.0 object,VHS cassette in original box sleeve,,,"Ayestaran, Ignacio",,,
ref436,Disappeared/Desaparecidos,1995,Box,Moving Images (1995-ref436),1.0 object,VHS cassette in original box sleeve,,,"Abeson, Kristina","Bowen, Abby",,
ref438,Polis Isis,2000,Box,Moving Images (2000-ref438),1.0 object,VHS cassette in original box sleeve,,,"Bonafede, Anthony",,,
ref440,Myths and Interpretations (misinterpretations) of America,1998,Box,Moving Images (1998-ref440),1.0 object,VHS cassette in original box sleeve,,,"Frontera, Tania",,,
ref442,Untitled Thesis (Donald Chesnut),1993,Box,Moving Images (1993-ref442),1.0 object,VHS cassette in original box sleeve,,,"Chesnut, Donald",,,
ref180,www.koalahospital.org,1998,Box,Moving Images (1998-ref180),1.0 object,VHS cassette in original box sleeve,Cassette label,"""Video component""","Dunn, Michael",,,
ref182 ,Plateau,1997,Box,Moving Images (1997-ref182),1.0 object,VHS cassette in original box sleeve,,,"Kaori, Eda",,,
ref444,Gramercy,1998,Box,Moving Images (1998-ref444),1.0 object,VHS cassette in original box sleeve,,,"DeGeorges, Paul",,,
ref184,WWW Shrine,1997,Box,Moving Images (1997-ref184),1.0 object,VHS cassette in original box sleeve,,,"Dandrea, Richard",,,
ref446,CyberBlocks,1997,Box,Moving Images (1998-ref446),1.0 object,VHS cassette in original box sleeve,,,"Goldberg, Eric",,,
ref186,Heist,2001,Box,Moving Images (2001-ref186),1.0 object,VHS cassette in original box sleeve,,,"Kim, Lloyd","Lam, Henry","Shah, Preeti","Tung, Michelle"
ref188,Pan,1995,Box,Moving Images (1995-ref188),1.0 object,VHS cassette in original plastic box,,,"Even, Tirtza",,,
ref448,Shades of BLUE,1996,Box,Moving Images (1996-ref448),1.0 object,VHS cassette in original box sleeve,,,"Ettin, Scott",,,
ref450,Reflections,1997,Box,Moving Images (1997-ref450),1.0 object,VHS cassette in original box sleeve,,,"Echeverry, Santiago",,,
ref190,West Brooklyn Intensive Psychiatric Rehabilitation Program,1995,Box,Moving Images (1995-ref190),1.0 object,VHS cassette in original plastic box,,,"Chere, Jalali",,,
,,,,,,,,,,,,
ref452,The Wobbler!,1997,Box,Moving Images (1997-ref452),1.0 object,VHS cassette in original box sleeve,,,"Duncan, Jennifer","Dixon, Dierdre",,
ref356,Trace: A Memorial Environmental Sound Installation,1997,Box,Computer disks / tapes (1997-ref356),1.0 object,One CD-R in plastic jewel case,,,"Rueb, Teri",,,
ref358,The Sound of Memory: Using Technology and New Media to Preserve the Story of Us,2006,Box,Computer disks / tapes (2006-ref358),1.0 object,One CD-R in plastic jewel case,,,"Kirchherr, Jennifer",,,
ref360,cell-U-death,2005,Box,Computer disks / tapes (2005-ref360),1.0 object,One CD-R in plastic jewel case,On disk,"Source Dr. Henry Lai, cell phone radiation","Buttermore, Neil",,,
ref362,Beyond [boundaries] : a proposal for an art & community based project,1999,Box,Computer disks / tapes (1999-ref362),2.0 objects,Two CD-R in separate plastic jewel cases,On jewel label ,"Thesis Demo. Intructions: Open ""thesisdemo"" folder, Drag the file ""starthere.html"" into the web browser","Kalal, Rani Sheilagh",,,
ref364,Pitch Green Dark,1998,Box,Computer disks / tapes (1998-ref364),1.0 object,One CD-R in plastic jewel case,,,"Lewis, Nancy",,,
ref366,Untitled Thesis (Jack Davis),1999,Box,Computer disks / tapes (1999-ref366),1.0 object,One CD-R in plastic jewel case,On disk,Mike World - Demo & Sketches,"Davis, Jack",,,
ref368,Interactive Photobooth,1999,Box,Computer disks / tapes (1999-ref368),1.0 object,One CD-R in plastic jewel case,On jewel label,"Files and Folders on this CD: Read Me, Project Statement, Copy to Xtra folder of Director: ScrnXtra, Copy to your Hard Disk: Demo Director, Demo Projector, Interactive Director, Example Sounds, Project Statement and Images","Malden, Kristine",,,
ref370,"The Boy, the Bee, and the Grapefruit Tree",2000,Box,Computer disks / tapes (2000-ref370),2.0 objects,Two CD-Rs in plastic jewel cases,"On jewel label one, on jewel label two","Copy contents onto desktop and add disk 2; add contents to ""new movies"" directory, 718 783 0758, b@b-interactive.net","Danitz, Brian",,,
ref372,Collections,2001,Box,Computer disks / tapes (2001-ref372),1.0 object,One CD-R in plastic jewel case,On disk,Portfolio Collection. Interactive multimedia & quicktime movies,"Jung, Junyoung",,,
